Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
03/14/2020 01:30:00 PM,03/14/2020 02:10:00 PM,St. James Recreation Center,In front of St. James Recreation Center,Chicken,Central,Domestic,Unhealthy,0.4,Adult,Birds,31102043232,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
03/07/2020 02:00:00 PM,03/07/2020 02:30:00 PM,Jerome Park Reservoir,Northeast Corner Vicinity (intersection of Sedgwick Avenue and Goulden Avenue),Chicken,Central,Domestic,N/A,0.5,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
03/06/2020 10:00:00 AM,03/06/2020 10:15:00 AM,Van Cortlandt Park,Parade Ground (South),Canada Goose,Observed by Ranger,Native,Injured,0.5,Adult,Birds,NA,Monitored Animal,1,FALSE,TRUE,NA,0.5,FALSE,FALSE,NA
02/27/2020 09:40:00 AM,02/27/2020 10:00:00 AM,Rienzi Playground,Baseball Field Gate,Bird (Unknown),Central,Native,N/A,0.6,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
02/26/2020 08:13:00 AM,02/26/2020 09:00:00 AM,Crotona Park,Crotona Park Tennis Center/Crotona Ave & E. 173rd St,Raccoon,Employee,Native,Injured,1,Adult,Small Mammals-RVS,3-11-0197602,ACC,1,TRUE,TRUE,NA,1,FALSE,FALSE,89438
02/22/2020 04:00:00 PM,02/22/2020 04:00:00 PM,Pelham Bay Park,On Trail in Huntington Woods,Raccoon,Observed by Ranger,Native,DOA,0.5,Adult,Small Mammals-RVS,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
02/25/2020 12:00:00 PM,02/25/2020 12:30:00 PM,Crotona Park,East Crotona Park and Claremont Parkway,Canada Goose,Public,Native,Injured,1,Adult,Birds,311-01913353,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
02/24/2020 03:45:00 PM,02/24/2020 03:50:00 PM,Van Cortlandt Park,Lawn near Memorial Grove,Canada Goose,Public,Native,Injured,0.25,Adult,Birds,NA,Monitored Animal,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
02/14/2020 12:35:00 PM,02/14/2020 12:35:00 PM,Pelham Bay Park,Pelham Bay Nature Center,Raccoon,Observed by Ranger,Native,Unhealthy,2.5,Adult,Small Mammals-RVS,311-01838297,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,88528
02/02/2020 02:38:00 PM,02/02/2020 02:51:00 PM,Van Cortlandt Park,Ladder #20 at Van Cortlandt Lake,Canada Goose,Public,Native,Injured,0.5,Adult,Birds,NA,Monitored Animal,1,FALSE,TRUE,NA,0.5,FALSE,FALSE,NA
01/25/2020 10:15:00 AM,01/25/2020 10:30:00 AM,Van Cortlandt Park,Golf Course Entrance,Canada Goose,Employee,Native,Injured,1,Adult,Birds,NA,Monitored Animal,1,FALSE,TRUE,NA,1,FALSE,FALSE,NA
01/12/2020 04:00:00 PM,01/12/2020 04:30:00 PM,Van Cortlandt Park,On the curb outside of Southwest Playground,Striped Skunk,Public,Native,DOA,0.5,Adult,Small Mammals-RVS,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
01/12/2020 10:30:00 AM,01/12/2020 10:30:00 AM,Van Cortlandt Park,Parade Ground,Snow Goose,Observed by Ranger,Native,Injured,0.25,Adult,Birds,NA,Monitored Animal,1,FALSE,TRUE,NA,0.25,FALSE,FALSE,NA
01/10/2020 04:55:00 PM,01/10/2020 05:10:00 PM,Soundview Park,Colgate Avenue and Lafayette Avenue,Striped Skunk,Central,Native,Unhealthy,1,Adult,Small Mammals-RVS,311-01583683,ACC,1,TRUE,FALSE,NA,NA,FALSE,FALSE,NA
01/09/2020 09:57:00 AM,01/09/2020 09:57:00 AM,Crotona Park,Tennis House,Dog,Central,Domestic,Unhealthy,2.25,Adult,Domestic,311-01572187,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,85820
01/08/2020 03:45:00 PM,01/08/2020 04:00:00 PM,Orchard Beach,City Island Circle,Canada Goose,Central,Native,Injured,0.5,Adult,Birds,NA,Monitored Animal,1,FALSE,TRUE,NA,0.5,FALSE,FALSE,NA
12/30/2019 10:30:00 AM,12/30/2019 10:30:00 AM,Van Cortlandt Park,Women's Restroom at Nature Center,Common Grackle,Observed by Ranger,Native,Healthy,0.25,Adult,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
12/23/2019 09:03:00 AM,12/23/2019 09:10:00 AM,Pelham Bay Park,On the side of Shore Road between Orchard Beach Road and City Island Road.,White-tailed Deer,Employee,Native,Injured,2,Adult,Deer,311-01448199,ACC,1,FALSE,TRUE,NA,2,FALSE,TRUE,53897
12/20/2019 04:00:00 PM,12/21/2019 10:00:00 AM,Van Cortlandt Park,Parade Grounds,Snow Goose,"Conservancies/""Friends of"" Groups",Native,Injured,0.5,Juvenile;#Adult,Birds,NA,Monitored Animal,2,FALSE,TRUE,NA,1,FALSE,FALSE,NA
12/20/2019 04:00:00 PM,12/20/2019 04:05:00 PM,Van Cortlandt Park,Parade ground and lake,Snow Goose,Employee,Native,N/A,0.5,Adult,Birds,NA,Monitored Animal,1,FALSE,TRUE,NA,0.5,FALSE,FALSE,NA
12/16/2019 10:15:00 AM,12/16/2019 10:25:00 AM,Bronx Park,On the west side of the Bronx River Parkway in Bronx Park. Cross street East 207th Street.,Red-tailed Hawk,Employee,Native,Injured,1,Adult,Raptors,311-01392991,Rehabilitator,1,FALSE,FALSE,Bobby Horvath,NA,FALSE,FALSE,NA
12/09/2019 11:00:00 AM,12/09/2019 11:05:00 AM,Joseph Rodman Drake Park,Hunts Point Ave. and Drake Park S.,Dog,Other,Domestic,Unhealthy,1.5,Adult,Domestic,NA,ACC,1,TRUE,FALSE,NA,NA,FALSE,FALSE,83479
12/07/2019 09:30:00 AM,12/07/2019 09:30:00 AM,Clark Playground,Park Building,Cooper's Hawk,Central,Native,Unhealthy,2,Juvenile,Raptors,311-01323171,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
12/05/2019 02:00:00 PM,12/05/2019 03:00:00 PM,Aqueduct Walk,Sidewalk,Red-tailed Hawk,Public,Native,Injured,1,Juvenile,Raptors,311-01310120,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
12/03/2019 10:30:00 AM,12/03/2019 11:00:00 AM,Van Cortlandt Park,"Along South Bound Major Deegan Expressway (40.893428, -73.883798)",Eastern Coyote,"Conservancies/""Friends of"" Groups",Native,DOA,2,Adult,Coyotes,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
11/20/2019 12:40:00 PM,11/20/2019 01:00:00 PM,Barretto Point Park,Corner of Tiffany Street and Viele Avenue,Gull (Unknown),Public,Native,Injured,1,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
11/27/2019 09:00:00 AM,11/27/2019 09:10:00 AM,Van Cortlandt Park,"Van Cortlandt Park Parade Ground, tied to a tree west of Vault Hill",Dog,Employee,Domestic,Healthy,3,Juvenile,Domestic,311-0124-8824,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,108966
10/24/2019 03:30:00 PM,10/24/2019 03:30:00 AM,Brook Park,Community Garden,Red-tailed Hawk,Central,Native,N/A,2,Adult,Raptors,311-00958203,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
10/16/2019 02:30:00 PM,10/16/2019 02:30:00 PM,Van Cortlandt Park,Old Croton Aqueduct Trail / Moshulu Pkwy N,Guinea Pig,Observed by Ranger,Domestic,Healthy,1.5,Juvenile,Small Mammals-non RVS,311-00888809,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,79013
10/13/2019 10:50:00 AM,10/13/2019 11:50:00 AM,Van Cortlandt Park,Old Croton Aqueduct Trail/ Mosholu Parkway N,Guinea Pig,Observed by Ranger,Domestic,Healthy,2.5,Adult;#Juvenile;#Infant,Small Mammals-non RVS,311-00865746,ACC,19,FALSE,FALSE,NA,NA,FALSE,FALSE,102841
10/11/2019 02:30:00 PM,10/11/2019 03:00:00 PM,Pelham Bay Park,Orchard Beach Transfer Station,Raccoon,Central,Native,Healthy,0.25,Adult,Small Mammals-RVS,311-00852548,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
10/10/2019 12:00:00 PM,10/10/2019 12:00:00 AM,Orchard Beach,Parking Lot,Great Black-backed Gull,Public,Native,Unhealthy,3,Adult,Birds,311-00843930,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
10/10/2019 11:00:00 AM,10/10/2019 11:00:00 AM,Orchard Beach,Parking lot by kayak launch,Cat,Observed by Ranger,Domestic,Injured,7,Adult,Domestic,311-00843885,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,78379
10/04/2019 10:00:00 AM,10/04/2019 10:00:00 AM,Van Cortlandt Park,"Van Cortlandt Lake, Putnam Trail, next to Blue bridge.",Mute Swan,Employee,Invasive,DOA,3,Juvenile,Birds,NA,Submitted for DEC Testing,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
09/27/2019 11:00:00 AM,09/27/2019 11:10:00 AM,Van Cortlandt Park,"Putnam Trail, 1 mile north of the Van Cortlandt Lake",Mute Swan,Public,Invasive,DOA,1,Juvenile,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
09/27/2019 11:20:00 AM,09/27/2019 11:25:00 AM,Van Cortlandt Park,Putnam Trail (Near overpass),Mute Swan,Public,Invasive,Injured,0.45,Adult,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
09/10/2019 12:30:00 PM,09/10/2019 12:30:00 PM,Crotona Park,Indian Lake,Muscovy Duck,Observed by Ranger,Invasive,Healthy,1.5,Adult,Birds,311-00597839,Rehabilitator,1,FALSE,TRUE,Wild Bird Fund,NA,FALSE,FALSE,NA
09/10/2019 09:00:00 AM,09/10/2019 10:25:00 AM,Hart Island,Hart Island,Great Horned Owl,Other,Native,Injured,1.5,Adult,Raptors,311-00596621,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
09/03/2019 02:56:00 PM,09/03/2019 03:30:00 PM,Pelham Bay Park,Orchard Beach Section 1-6,Harbor Seal,Employee,Native,Healthy,2.5,Juvenile,Marine Mammals-seals only,NA,Advised/Educated others,1,FALSE,TRUE,NA,2.5,FALSE,FALSE,NA
09/01/2019 03:30:00 PM,09/01/2019 03:45:00 PM,Mosholu Parkway,Mosholu Parkway & Jerome Avenue,Guineafowl,Observed by Ranger,Domestic,Healthy,1,Adult,Domestic;#Birds,311-00523029,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
09/01/2019 03:00:00 PM,09/01/2019 03:01:00 PM,Pelham Bay Park,Orchard Beach Section 1,Harbor Seal,Observed by Ranger,Native,Healthy,1.5,Juvenile,Marine Mammals-seals only,NA,Monitored Animal,1,FALSE,TRUE,NA,1.5,FALSE,FALSE,NA
08/31/2019 11:30:00 AM,08/31/2019 11:30:00 AM,Richman (Echo) Park,Valentine/ Ryer Ave,Eastern Gray Squirrel,Central,Native,N/A,0.75,Infant,Small Mammals-non RVS,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
08/31/2019 08:45:00 AM,08/31/2019 09:10:00 AM,Shoelace Park,"40.887126, -73.865447; Pedestrian Ramp at Bronx Boulevard and 222nd Street",Raccoon,Central,Native,Unhealthy,2.2,Juvenile,Small Mammals-RVS,311-00513207,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,74469
08/24/2019 10:20:00 AM,08/24/2019 10:50:00 AM,Orchard Beach,Section 5 Restroom,Striped Skunk,Employee,Native,Healthy,1.5,Juvenile,Small Mammals-RVS,311-00-457586,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
