Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
07/17/2020 04:00:00 PM,07/17/2020 04:00:00 PM,Inwood Hill Park,West 218th near Baseball Fields,American Robin,Public,Native,Healthy,0.5,Juvenile,Birds,NA,Advised/Educated others,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/17/2020 12:21:00 PM,07/17/2020 01:21:00 PM,Central Park,"Central Park Lake, 76th street cross and West Drive, south of Hernshead",Black-crowned Night Heron,Public,Native,N/A,0.5,Adult,Birds,NA,Monitored Animal,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/17/2020 11:52:00 AM,07/17/2020 11:55:00 AM,Central Park,"Central Park Lake, 76th street cross and West Drive, just south of Hernshead",Black-crowned Night Heron,Public,Native,Injured,1.75,Adult,Birds,311-03232953,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
07/16/2020 08:42:00 AM,07/16/2020 08:42:00 AM,Central Park,"84th & 5th ave, The Met property",Norway Rat,Other,Invasive,N/A,0.25,Adult,Small Mammals-non RVS,NA,Advised/Educated others,14,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/15/2020 09:15:00 AM,07/15/2020 10:05:00 AM,Central Park,Rooftop of The Metropolitan Museum of Art,Mallard Duck,Other,Native,Healthy,0.75,Adult,Birds,NA,Monitored Animal,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/14/2020 05:45:00 PM,07/15/2020 09:30:00 AM,Riverside Park,West 103rd St Baseball fields,Raptor (Unknown),Public,Native,Injured,1,Juvenile,Raptors,311-03202987,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/14/2020 04:30:00 PM,07/14/2020 05:00:00 PM,Central Park,west Central Park and 95th Street,Red-tailed Hawk,Public,Native,Injured,1,Juvenile,Raptors,311-06203229,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
07/14/2020 09:15:00 AM,07/14/2020 09:30:00 AM,Central Park,Ramble Lot 78 street and the East Drive,Raccoon,Employee,Native,DOA,2,Adult,Small Mammals-RVS,311-03196703,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,98237
07/09/2020 10:00:00 AM,07/09/2020 02:30:00 PM,Central Park,"59th street pond, on land south of Wolman Rink",Canada Goose,Employee,Native,Injured,3,Juvenile,Birds,311-03145964,Rehabilitator,1,FALSE,TRUE,Wild Bird Fund,1.5,FALSE,FALSE,NA
07/09/2020 10:00:00 AM,07/09/2020 10:25:00 AM,Central Park,The East end of the 59th Street Pond neart Gapstow Bridge.,Canada Goose,Employee,Native,Injured,1.5,Juvenile,Birds,NA,Monitored Animal,1,TRUE,TRUE,NA,1,FALSE,FALSE,NA
07/08/2020 10:30:00 AM,07/08/2020 10:46:00 AM,Morningside Park,The raccoon was found under the play equipment in the northeast corner of 123rd Street Playground in Morningside Park,Raccoon,Employee,Native,Unhealthy,1.5,Infant,Small Mammals-RVS,311-03131615,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,97845
07/07/2020 11:30:00 AM,07/07/2020 11:30:00 AM,Central Park,Turtle Pond,Red-eared Slider,Employee,Invasive,Healthy,0.1,Adult,Terrestrial Reptile or Amphibian,NA,Advised/Educated others,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/07/2020 09:00:00 AM,07/07/2020 09:00:00 AM,Central Park,Conservatory Water,Mallard Duck,Employee,Native,Healthy,0.3,Adult;#Juvenile,Birds,NA,Advised/Educated others,4,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/06/2020 01:25:00 PM,07/06/2020 01:30:00 PM,Central Park,South of Loeb Boathouse,Canada Goose,"Conservancies/""Friends of"" Groups",Native,Injured,1,Adult,Birds,311-0310-9081,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
07/05/2020 04:15:00 PM,07/05/2020 04:15:00 PM,Central Park,East end of Turtle Pond,Mallard Duck,Observed by Ranger,Native,Healthy,0.5,Adult,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/05/2020 02:30:00 PM,07/06/2020 02:45:00 PM,Central Park,East end of Turtle Pond,Red-eared Slider,Public,Invasive,Injured,1.5,Adult,Terrestrial Reptile or Amphibian,NA,Monitored Animal,1,FALSE,TRUE,NA,1,FALSE,FALSE,NA
07/02/2020 06:30:00 AM,07/02/2020 10:45:00 AM,Central Park,"Lake, reportedly at Hernshead",Mallard Duck,Public,Native,N/A,1.5,Infant,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
