Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
10/09/2018 05:00:00 PM,10/09/2018 05:00:00 PM,Prospect Park,3rd Street Playground,Raccoon,Employee,Native,Unhealthy,1,Adult,Small Mammals-RVS,NA,ACC,1,FALSE,FALSE,NA,NA,TRUE,FALSE,44045
10/03/2018 06:00:00 PM,10/04/2018 12:00:00 PM,Marine Park,Salt Marsh Nature Trail,Domestic Dove,Public,Domestic,Injured,1,Adult,Domestic,1-1-1625631162,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
10/07/2018 11:00:00 AM,10/07/2018 11:30:00 AM,Prospect Park,Center Drive near West Drive,Raccoon,Employee,Native,DOA,2,Adult,Small Mammals-RVS,1-1-16277477061,Submitted for DEC Testing,1,FALSE,FALSE,NA,NA,FALSE,FALSE,43789
10/06/2018 07:30:00 PM,10/07/2018 09:15:00 AM,Prospect Park,Picnic House,Raccoon,Employee,Native,DOA,2,Adult,Small Mammals-RVS,1-1-1625702571,Submitted for DEC Testing,1,FALSE,FALSE,NA,NA,FALSE,FALSE,43769
10/04/2018 10:00:00 AM,10/04/2018 10:06:00 AM,Prospect Park,Picnic House,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,NA,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,43431
10/04/2018 09:05:00 AM,10/04/2018 09:28:00 AM,Prospect Park,Grand Army Plaza,Raccoon,Employee,Native,Healthy,0.5,Juvenile,Small Mammals-RVS,1-11-625702051,Advised/Educated others,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
10/03/2018 10:00:00 AM,10/03/2018 10:40:00 AM,Prospect Park,Long Meadow just inside Garfield Place entrance,Raccoon,Employee,Native,Healthy,1,Juvenile,Small Mammals-RVS,1-1-1625098500,Monitored Animal,1,FALSE,TRUE,NA,0.25,FALSE,FALSE,NA
10/02/2018 10:30:00 AM,10/02/2018 11:00:00 AM,Prospect Park,Picnic House,Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1622689383,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,43193
09/26/2018 05:05:00 PM,09/26/2018 05:35:00 PM,Canarsie Park,near Canarsie Pier,Bird (Unknown),Central,Native,N/A,1,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
09/26/2018 03:00:00 PM,09/26/2018 04:00:00 PM,Shore Park and Parkway,North end near Owl's Head Park,Virginia Opossum,Employee,Native,N/A,1,Adult,Small Mammals-non RVS,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
09/26/2018 04:30:00 PM,09/26/2018 04:50:00 PM,Shore Park and Parkway,North end near Owl's Head Park,Yellow-crowned Night Heron,Observed by Ranger,Native,Unhealthy,2.5,Juvenile,Birds,NA,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
09/27/2018 08:30:00 AM,09/27/2018 08:45:00 AM,Prospect Park,By the Picnic House on the Long Meadow,Raccoon,Employee,Native,Unhealthy,3,Adult,Small Mammals-RVS,NA,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,42660
09/26/2018 01:13:00 PM,09/26/2018 02:51:00 PM,Jacob Joffe Fields,By the playground,Chicken,Public,Domestic,Healthy,1.5,Adult,Domestic,NA,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,42611
09/21/2018 09:00:00 AM,09/21/2018 10:30:00 AM,Bedford Playground,playground,Raccoon,Public,Native,N/A,1,Adult,Small Mammals-RVS,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
09/13/2018 04:00:00 PM,09/13/2018 04:25:00 PM,Prospect Park,Plaza St West and Garfield Tot Spot,Raccoon,Public,Native,Injured,1,Adult,Small Mammals-RVS,1-1-1617125900,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
