Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
01/28/2021 08:41:00 AM,01/28/2021 08:50:00 AM,Great Kills Park,Cedar Grove Beach at the end of New Dorp Lane,Herring Gull,Employee,Native,Healthy,1,Juvenile,Birds,NA,Advised/Educated others,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
01/25/2021 02:05:00 PM,01/25/2021 02:15:00 PM,Willowbrook Park,In woods by ballfield,Chicken,Public,Domestic,Healthy,1.75,Adult,Birds;#Domestic,311-05235491,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,110955
01/25/2021 08:55:00 AM,01/25/2021 09:10:00 AM,Clove Lakes Park,Near Brooks Lake by Curtis Ave,Raccoon,Central,Native,N/A,1.5,Adult,Small Mammals-RVS,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
01/16/2021 12:50:00 PM,01/23/2021 12:50:00 PM,Blue Heron Park,Blue Heron Nature Center,Black-capped Chickadee,Observed by Ranger,Native,Injured,0.25,Adult,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
01/14/2021 12:00:00 PM,01/18/2021 02:20:00 PM,Freshkills Park,William T Davis Wildlife refuge,White-tailed deer,Central,Native,Injured,0.75,Adult,Deer,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
01/14/2021 12:00:00 PM,01/14/2021 12:10:00 PM,Freshkills Park,"William T. Davis Wildlife Refuge, Travis Ave and Draper Pl",White-tailed Deer,Employee,Native,Injured,0.75,Adult,Deer,NA,Monitored Animal,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
01/13/2021 01:40:00 PM,01/13/2021 01:55:00 PM,South Shore Country Club,30-50ft in woods by the 8th T hole,White-tailed Deer,Employee,Native,Healthy,2,Adult,Deer,NA,Relocated/Condition Corrected,1,FALSE,TRUE,NA,1.5,TRUE,TRUE,NA
01/12/2021 01:50:00 PM,01/12/2021 02:00:00 PM,The Big Park,Bus Stop outside of Big park,Cooper's Hawk,Employee,Native,DOA,1.25,Adult,Raptors,NA,Submitted for DEC Testing,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
01/08/2021 03:45:00 PM,01/08/2021 04:15:00 PM,Clove Lakes Park,Clove Rd and Forest Ave,Wild Turkey,Public,Native,Unhealthy,1,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
01/06/2021 03:30:00 PM,01/08/2021 09:00:00 AM,King Fisher Park,pond,Canada Goose,Public,Native,Injured,0.25,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
01/06/2021 03:00:00 PM,01/06/2021 03:30:00 PM,King Fisher Park,Pond,Canada Goose,Central,Native,Injured,0.5,Adult,Birds,NA,Monitored Animal,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
12/30/2020 02:00:00 PM,01/06/2021 02:15:00 PM,Historic Richmondtown,Creek,Canada Goose,Public,Native,Injured,0.5,Adult,Birds,NA,Monitored Animal,1,FALSE,TRUE,NA,0.25,FALSE,FALSE,NA
01/02/2021 02:00:00 PM,01/02/2021 02:10:00 PM,Willowbrook Park,Willowbrook Lake,Canada Goose,Central,Native,Injured,1,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
12/30/2020 01:45:00 PM,12/30/2020 02:00:00 PM,Historic Richmondtown,off Richmond Road,Canada Goose,Public,Native,Injured,0.5,Adult,Birds,NA,Monitored Animal,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
12/29/2020 01:00:00 PM,12/29/2020 01:30:00 PM,Bloomingdale Park,Bloomingdale Rd and Ramona Ave woods,White-tailed Deer,Central,Native,Injured,0.75,Adult,Deer,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
12/20/2020 04:00:00 PM,12/20/2020 04:05:00 PM,Wolfe's Pond Park,On beach between jetty and restrooms,Red-throated Loon,Public,Native,DOA,0.25,Adult,Birds,NA,Submitted for DEC Testing,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
12/16/2020 09:20:00 AM,12/16/2020 01:50:00 PM,Bloomingdale Park,At Comfort Station M&O Office,Rock Dove,Employee,Native,Injured,0.5,Adult,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
12/16/2020 09:00:00 AM,12/16/2020 01:20:00 PM,Wolfe's Pond Park,Picnic area,Canada Goose,Employee,Native,Injured,0.5,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
